"公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives"
"课程类型Course Type","课程名称Course Name","课程性质Nature ofCourse","总学分Credits","课内实践学分 In-classPractice Credits","开课学期Semester","开课学院School","支撑毕业要求指标点 Indicatorswhich Support GraduationRequirements","备注Notes"
"思想政治类IdeologicalPolitics Courses","思想道德与法治Ideological and MoralEducation and the Rule of Law","必修Compulsory","3","0.4","第 1 学期1StSemester","马克思主义学院School ofMarxism","6，7，8","null"
"思想政治类IdeologicalPolitics Courses","中国近现代史纲要Conspectus of ChineseModern History","必修Compulsory","3","0.4","第 2 学期2NdSemester","马克思主义学院School ofMarxism","7，8","null"
"思想政治类IdeologicalPolitics Courses","马克思主义基本原理The Basic Principles ofMarxism","必修Compulsory","3","0.4","第 3 学期3RdSemester","马克思主义学院School ofMarxism","8","null"
"思想政治类IdeologicalPolitics Courses","毛泽东思想和中国特色社会主义理论体系概论 Introduction to MaoZedong Thought and Theoretical System of Socialism with Chinese Characteristics","必修Compulsory","3","0.4","第 5 学期5ThSemester","马克思主义学院School ofMarxism","6，7，8","null"
"思想政治类IdeologicalPolitics Courses","习近平新时代中国特色社会主义思想概论 Outline of Xi JinpingThought on Socialism with ChineseCharacteristics for a New Era","必修Compulsory","3","0.4","第 6 学期6ThSemester","马克思主义学院School ofMarxism","6，7，8","null"
"思想政治类IdeologicalPolitics Courses","形势与政策 ISituation and Policy I","必修Compulsory","0","0","第 1 学期1StSemester","马克思主义学院School ofMarxism","6，7，8","null"
"思想政治类IdeologicalPolitics Courses","形势与政策ⅡSituation and Policy Ⅱ","必修Compulsory","0","0","第 2 学期2NdSemester","马克思主义学院School ofMarxism","6，7，8","null"
"思想政治类IdeologicalPolitics Courses","形势与政策ⅢSituation and Policy Ⅲ","必修Compulsory","0","0","第 3 学期3RdSemester","马克思主义学院School ofMarxism","6，7，8","null"
"思想政治类IdeologicalPolitics Courses","形势与政策ⅣSituation and Policy Ⅳ","必修Compulsory","0","0","第 4 学期4ThSemester","马克思主义学院School ofMarxism","6，7，8","null"
"思想政治类IdeologicalPolitics Courses","形势与政策 VSituation and Policy V","必修Compulsory","0","0","第 5 学期5ThSemester","马克思主义学院School ofMarxism","6，7，8","null"
"思想政治类IdeologicalPolitics Courses","形势与政策ⅥSituation and Policy Ⅵ","必修Compulsory","0","0","第 6 学期6ThSemester","马克思主义学院School ofMarxism","6，7，8","null"
"思想政治类IdeologicalPolitics Courses","形势与政策ⅦSituation and Policy Ⅶ","必修Compulsory","0","0","第 7 学期7ThSemester","马克思主义学院School ofMarxism","6，7，8","null"
"思想政治类IdeologicalPolitics Courses","形势与政策ⅧSituation and Policy Ⅷ","必修Compulsory","2","0","第 8 学期8ThSemester","马克思主义学院School ofMarxism","6，7，8","null"
"军事类Military Courses","军事理论Military Theories","必修Compulsory","2","0","第 1 学期1StSemester","武装部Security Office","9","null"
"军事类Military Courses","军事技能Military Skills","必修Compulsory","2","2","短 1 学期ShortSemester1","武装部Security Office","9","null"
"外语类ForeignLanguage Courses","英语 ICollege English I","必修Compulsory","2","0","第 1 学期1StSemester","外国语学院School of Foreignlanguages","10","null"
"外语类ForeignLanguage Courses","英语ⅡCollege English Ⅱ","必修Compulsory","2","0","第 2 学期2NdSemester","外国语学院School of Foreignlanguages","10","null"
"外语类ForeignLanguage Courses","通用学术英语English for GeneralAcademic Purposes","必修Compulsory","2","0","第 3 学期3RdSemester","外国语学院School of Foreignlanguages","10","null"
"外语类ForeignLanguage Courses","职场英语Workplace English","限修DistributionalElective","2","0","第 4 学期4ThSemester","外国语学院School of Foreignlanguages","10","限选 1 门，2 学分Limited to 1course, 2 credits"
"外语类ForeignLanguage Courses","交际与文化视听说Viewing, Listening &Speaking in English -- Communication & Culture","限修DistributionalElective","2","0","第 4 学期4ThSemester","外国语学院School of Foreignlanguages","10","限选 1 门，2 学分Limited to 1course, 2 credits"
"外语类ForeignLanguage Courses","语言、文化与翻译Language, Culture andTranslation","限修DistributionalElective","2","0","第 4 学期4ThSemester","外国语学院School of Foreignlanguages","10","限选 1 门，2 学分Limited to 1course, 2 credits"
"外语类ForeignLanguage Courses","英语公共演讲Public Speaking inEnglish","限修DistributionalElective","2","0","第 4 学期4ThSemester","外国语学院School of Foreignlanguages","10","限选 1 门，2 学分Limited to 1course, 2 credits"
"体育类PhysicalEducation Courses","体育 IPhysical Education I","必修Compulsory","1","1","第 1 学期1StSemester","体育部 Dept. ofPhysicalEducation","9","null"
"体育类PhysicalEducation Courses","体育ⅡPhysical Education Ⅱ","必修Compulsory","1","1","第 2 学期2NdSemester","体育部 Dept. ofPhysicalEducation","9","null"
"体育类PhysicalEducation Courses","体育ⅢPhysical Education Ⅲ","必修Compulsory","0.5","0.5","第 3 学期3RdSemester","体育部 Dept. of PhysicalEducation","9","null"
"体育类PhysicalEducation Courses","体育ⅣPhysical Education Ⅳ","必修Compulsory","0.5","0.5","第 4 学期4ThSemester","体育部 Dept. of PhysicalEducation","9","null"
"体育类PhysicalEducation Courses","体育健康课程 I Diversified PhysicalEducation Courses I","必修Compulsory","0.5","0.5","第 5 学期5ThSemester","体育部 Dept. of PhysicalEducation","6","null"
"体育类PhysicalEducation Courses","体育健康课程ⅡDiversified PhysicalEducation Courses Ⅱ","必修Compulsory","0.5","0.5","第 6 学期6ThSemester","体育部 Dept. of PhysicalEducation","6","null"
"通识教育课程General Education Courses共 6 学分，其中必修 0 学分，限修 6 学分，选修 0 学分A total credits of 6，including 0 for compulsory courses，6 for distributional electives and 0 for free electives","通识教育课程General Education Courses共 6 学分，其中必修 0 学分，限修 6 学分，选修 0 学分A total credits of 6，including 0 for compulsory courses，6 for distributional electives and 0 for free electives","通识教育课程General Education Courses共 6 学分，其中必修 0 学分，限修 6 学分，选修 0 学分A total credits of 6，including 0 for compulsory courses，6 for distributional electives and 0 for free electives","通识教育课程General Education Courses共 6 学分，其中必修 0 学分，限修 6 学分，选修 0 学分A total credits of 6，including 0 for compulsory courses，6 for distributional electives and 0 for free electives","通识教育课程General Education Courses共 6 学分，其中必修 0 学分，限修 6 学分，选修 0 学分A total credits of 6，including 0 for compulsory courses，6 for distributional electives and 0 for free electives","通识教育课程General Education Courses共 6 学分，其中必修 0 学分，限修 6 学分，选修 0 学分A total credits of 6，including 0 for compulsory courses，6 for distributional electives and 0 for free electives","通识教育课程General Education Courses共 6 学分，其中必修 0 学分，限修 6 学分，选修 0 学分A total credits of 6，including 0 for compulsory courses，6 for distributional electives and 0 for free electives","通识教育课程General Education Courses共 6 学分，其中必修 0 学分，限修 6 学分，选修 0 学分A total credits of 6，including 0 for compulsory courses，6 for distributional electives and 0 for free electives","通识教育课程General Education Courses共 6 学分，其中必修 0 学分，限修 6 学分，选修 0 学分A total credits of 6，including 0 for compulsory courses，6 for distributional electives and 0 for free electives"
