"公共基础课程","公共基础课程","公共基础课程","公共基础课程","公共基础课程","公共基础课程","公共基础课程","公共基础课程","公共基础课程"
"Public Basic Courses","Public Basic Courses","Public Basic Courses","Public Basic Courses","Public Basic Courses","Public Basic Courses","Public Basic Courses","Public Basic Courses","Public Basic Courses"
"共33学分，其中必修31学分，限修2学分，选修0 学分","共33学分，其中必修31学分，限修2学分，选修0 学分","共33学分，其中必修31学分，限修2学分，选修0 学分","共33学分，其中必修31学分，限修2学分，选修0 学分","共33学分，其中必修31学分，限修2学分，选修0 学分","共33学分，其中必修31学分，限修2学分，选修0 学分","共33学分，其中必修31学分，限修2学分，选修0 学分","共33学分，其中必修31学分，限修2学分，选修0 学分","共33学分，其中必修31学分，限修2学分，选修0 学分"
"A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives"
"课程类型Course Type","课程名称 Course Name","课程性质 Nature of Course","总学分 Credits","课内实践学分 In-class Practice Credits","开课学期 Semester","开课学院 School","支撑毕业要求指标点Indicators which Support Graduation Requirements","备注Notes"
"思想政治类Ideological Politics Courses","思想道德与法治Ideological and Moral Education and the Rule of Law","必修Compulsory","3","0.4","第1学期Semester1","马克思主义学院School of Marxism","6，7，8","null"
"思想政治类Ideological Politics Courses","中国近现代史纲要Conspectus of Chinese Modern History","必修Compulsory","3","0.4","第2学期Semester2","马克思主义学院School of Marxism","7，8","null"
"思想政治类Ideological Politics Courses","马克思主义基本原理The Basic Principles of Marxism","必修Compulsory","3","0.4","第3学期Semester3","马克思主义学院School of Marxism","8","null"
"思想政治类Ideological Politics Courses","毛泽东思想和中国特色社会主义理论体系概论Introduction to Mao Zedong Thought and Theoretical System of Socialism with Chinese Characteristics","必修Compulsory","3","0.4","第4学期Semester4","马克思主义学院School of Marxism","6，7，8","null"
"思想政治类Ideological Politics Courses","习近平新时代中国特色社会主义思想概论Outline of Xi Jinping Thought on  Socialism with Chinese Characteristics for a New Era","必修Compulsory","3","0.4","第6学期Semester6","马克思主义学院School of Marxism","6，7，8","null"
"思想政治类Ideological Politics Courses","形势与政策ISituation and Policy I","必修Compulsory","0","0","第1学期Semester1","马克思主义学院School of Marxism","6，7，8","null"
"思想政治类Ideological Politics Courses","形势与政策ⅡSituation and Policy Ⅱ","必修Compulsory","0","0","第2学期Semester2","马克思主义学院School of Marxism","6，7，8","null"
"思想政治类Ideological Politics Courses","形势与政策ⅢSituation and Policy Ⅲ","必修Compulsory","0","0","第3学期Semester3","马克思主义学院School of Marxism","6，7，8","null"
"思想政治类Ideological Politics Courses","形势与政策ⅣSituation and Policy Ⅳ","必修Compulsory","0","0","第4学期Semester4","马克思主义学院School of Marxism","6，7，8","null"
"思想政治类Ideological Politics Courses","形势与政策VSituation and Policy V","必修Compulsory","0","0","第5学期Semester5","马克思主义学院School of Marxism","6，7，8","null"
"思想政治类Ideological Politics Courses","形势与政策ⅥSituation and Policy Ⅵ","必修Compulsory","0","0","第6学期Semester6","马克思主义学院School of Marxism","6，7，8","null"
"思想政治类Ideological Politics Courses","形势与政策ⅦSituation and Policy Ⅶ","必修Compulsory","0","0","第7学期Semester7","马克思主义学院School of Marxism","6，7，8","null"
"思想政治类Ideological Politics Courses","形势与政策ⅧSituation and Policy Ⅷ","必修Compulsory","2","0","第8学期Semester8","马克思主义学院School of Marxism","6，7，8","null"
"军事类Military Courses","军事理论Military Theories","必修Compulsory","2","0","第1学期Semester1","武装部Security Office","9","null"
"军事类Military Courses","军事技能Military Skills","必修Compulsory","2","2","短1学期Short Semester1","武装部Security Office","9","null"
"外语类 Foreign Language Courses","英语ICollege English I","必修Compulsory","2","0","第1学期Semester1","外国语学院School of Foreign languages","10","null"
"外语类 Foreign Language Courses","英语ⅡCollege English Ⅱ","必修Compulsory","2","0","第2学期Semester2","外国语学院School of Foreign languages","10","null"
"外语类 Foreign Language Courses","通用学术英语English for General Academic Purposes","必修Compulsory","2","0","第3学期Semester3","外国语学院School of Foreign languages","10","null"
"外语类 Foreign Language Courses","职场英语Workplace English","限修Distributional Elective","2","0","第4学期Semester4","外国语学院School of Foreign languages","10","限修1门，2学分Limited to 1 course, 2 credits"
"外语类 Foreign Language Courses","交际与文化视听说Viewing, Listening & Speaking in English --Communication & Culture","限修Distributional Elective","2","0","第4学期Semester4","外国语学院School of Foreign languages","10","限修1门，2学分Limited to 1 course, 2 credits"
"外语类 Foreign Language Courses","语言、文化与翻译Language, Culture and Translation","限修Distributional Elective","2","0","第4学期Semester4","外国语学院School of Foreign languages","10","限修1门，2学分Limited to 1 course, 2 credits"
"外语类 Foreign Language Courses","英语公共演讲Public Speaking in English","限修Distributional Elective","2","0","第4学期Semester4","外国语学院School of Foreign languages","10","限修1门，2学分Limited to 1 course, 2 credits"
"体育类Physical Education Courses","体育IPhysical Education I","必修Compulsory","1","1","第1学期Semester1","体育学院School of Physical Education","9","null"
"体育类Physical Education Courses","体育ⅡPhysical Education Ⅱ","必修Compulsory","1","1","第2学期Semester2","体育学院School of Physical Education","9","null"
"体育类Physical Education Courses","体育ⅢPhysical Education Ⅲ","必修Compulsory","0.5","0.5","第3学期Semester3","体育学院School of Physical Education","9","null"
"体育类Physical Education Courses","体育ⅣPhysical Education Ⅳ","必修Compulsory","0.5","0.5","第4学期Semester4","体育学院School of Physical Education","9","null"
"体育类Physical Education Courses","体育健康课程IDiversified Physical Education Courses I","必修Compulsory","0.5","0.5","第5学期Semester5","体育学院School of Physical Education","6","null"
"体育类Physical Education Courses","体育健康课程ⅡDiversified Physical Education Courses Ⅱ","必修Compulsory","0.5","0.5","第6学期Semester6","体育学院School of Physical Education","6","null"
"通识与多元化课程","通识与多元化课程","通识与多元化课程","通识与多元化课程","通识与多元化课程","通识与多元化课程","通识与多元化课程","通识与多元化课程","通识与多元化课程"
"General Education and Diversified Courses","General Education and Diversified Courses","General Education and Diversified Courses","General Education and Diversified Courses","General Education and Diversified Courses","General Education and Diversified Courses","General Education and Diversified Courses","General Education and Diversified Courses","General Education and Diversified Courses"
"共10学分，其中必修0学分，限修0学分，选修10 学分","共10学分，其中必修0学分，限修0学分，选修10 学分","共10学分，其中必修0学分，限修0学分，选修10 学分","共10学分，其中必修0学分，限修0学分，选修10 学分","共10学分，其中必修0学分，限修0学分，选修10 学分","共10学分，其中必修0学分，限修0学分，选修10 学分","共10学分，其中必修0学分，限修0学分，选修10 学分","共10学分，其中必修0学分，限修0学分，选修10 学分","共10学分，其中必修0学分，限修0学分，选修10 学分"
"A total credits of 10，including 0 for compulsory courses，0 for distributional electives and 10 for free electives","A total credits of 10，including 0 for compulsory courses，0 for distributional electives and 10 for free electives","A total credits of 10，including 0 for compulsory courses，0 for distributional electives and 10 for free electives","A total credits of 10，including 0 for compulsory courses，0 for distributional electives and 10 for free electives","A total credits of 10，including 0 for compulsory courses，0 for distributional electives and 10 for free electives","A total credits of 10，including 0 for compulsory courses，0 for distributional electives and 10 for free electives","A total credits of 10，including 0 for compulsory courses，0 for distributional electives and 10 for free electives","A total credits of 10，including 0 for compulsory courses，0 for distributional electives and 10 for free electives","A total credits of 10，including 0 for compulsory courses，0 for distributional electives and 10 for free electives"
"课程类型Course Type","课程名称 Course Name","课程性质 Nature of Course","总学分 Credits","课内实践学分 In-class practice credits","开课学期 Semester","开课学院 School","支撑毕业要求指标点Indicators which Support Graduation Requirements","备注Notes"
"“交通天下”通识教育课程（含跨学科课程）Core General Education Courses（Interdisciplinary Courses）","“交通天下”通识教育课程（含跨学科课程）Core General Education Courses（Interdisciplinary Courses）","选修Free Electives","2","0","2-8学期Semester 2-8","全校The whole school","null","null"
"国际课程International Courses","国际课程International Courses","选修Free Electives","2","0","2-8学期Semester 2-8","全校The whole school","null","null"
"大学生心理健康教育课程University Student Psychological Health Courses","大学生心理健康教育课程University Student Psychological Health Courses","选修Free Electives","2","0","2-8学期Semester 2-8","全校The whole school","null","null"
"学生成长与发展规划课程Student Growth and Development Planning Courses","学生成长与发展规划课程Student Growth and Development Planning Courses","选修Free Electives","2","0","2-8学期Semester 2-8","全校The whole school","null","null"
"多元化课程Diversified Courses","电子机械动起来Play with electronics and machinery","选修Free Electives","2","2","第5学期Semester5","计算机与人工智能学院School of Computing and Artificial Intelligence","2，6，9，12","二选一"
"多元化课程Diversified Courses","从代码到实物：造你所想From code to implementation: make what you want","选修Free Electives","2","2","第4学期Semester4","计算机与人工智能学院School of Computing and Artificial Intelligence","2，6，9，12","二选一"
"多元化课程Diversified Courses","智能+交通Intelligence+Transportation","选修Free Electives","2","0","第6学期Semester6","计算机与人工智能学院School of Computing and Artificial Intelligence","2，6，9，12","二选一"
"多元化课程Diversified Courses","智慧土木：比特与混凝土的艺术Intelligent Civil Engineering: Art of Bit and Concrete","选修Free Electives","2","0","第6学期Semester6","计算机与人工智能学院School of Computing and Artificial Intelligence","2，6，9，12","二选一"
"劳动教育课程Labor Education Courses","劳动教育课程Labor Education Courses","必修Compulsory","2","null","2-8学期Semester 2-8","全校The whole school","null","null"
"公共艺术课程Public Art Courses","公共艺术课程Public Art Courses","必修Compulsory","2","null","2-8学期Semester 2-8","全校The whole school","null","null"
"学科与专业基础课程（含实验）","学科与专业基础课程（含实验）","学科与专业基础课程（含实验）","学科与专业基础课程（含实验）","学科与专业基础课程（含实验）","学科与专业基础课程（含实验）","学科与专业基础课程（含实验）","学科与专业基础课程（含实验）","学科与专业基础课程（含实验）"
"Discipline and Specialty foundational Courses (Including Experiments)","Discipline and Specialty foundational Courses (Including Experiments)","Discipline and Specialty foundational Courses (Including Experiments)","Discipline and Specialty foundational Courses (Including Experiments)","Discipline and Specialty foundational Courses (Including Experiments)","Discipline and Specialty foundational Courses (Including Experiments)","Discipline and Specialty foundational Courses (Including Experiments)","Discipline and Specialty foundational Courses (Including Experiments)","Discipline and Specialty foundational Courses (Including Experiments)"
"共58学分，其中必修56学分，限修2学分，选修0学分","共58学分，其中必修56学分，限修2学分，选修0学分","共58学分，其中必修56学分，限修2学分，选修0学分","共58学分，其中必修56学分，限修2学分，选修0学分","共58学分，其中必修56学分，限修2学分，选修0学分","共58学分，其中必修56学分，限修2学分，选修0学分","共58学分，其中必修56学分，限修2学分，选修0学分","共58学分，其中必修56学分，限修2学分，选修0学分","共58学分，其中必修56学分，限修2学分，选修0学分"
"A total credits of 58，including 56 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 58，including 56 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 58，including 56 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 58，including 56 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 58，including 56 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 58，including 56 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 58，including 56 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 58，including 56 for compulsory courses，2 for distributional electives and 0 for free electives","A total credits of 58，including 56 for compulsory courses，2 for distributional electives and 0 for free electives"
"课程类型Course Type","课程名称 Course Name","课程性质 Nature of Course","总学分 Credits","课内实践学分 In-class practice credits","开课学期 Semester","开课学院 School","支撑毕业要求指标点Indicators which Support Graduation Requirements","备注Notes"
"数学类Mathematics Courses","高等数学IAdvanced Mathematics I","必修Compulsory","5","null","第1学期Semester1","数学学院School of Mathematics","1","null"
"数学类Mathematics Courses","线性代数BLinear Algebra B","必修Compulsory","3","null","第1学期Semester1","数学学院School of Mathematics","1，2","null"
"数学类Mathematics Courses","高等数学IIAdvanced Mathematics II","必修Compulsory","5","null","第2学期Semester2","数学学院School of Mathematics","1，2","null"
"数学类Mathematics Courses","离散数学Discrete mathematics","必修Compulsory","4","null","第2学期Semester2","计算机与人工智能学院School of Computing and Artificial Intelligence","1","null"
"数学类Mathematics Courses","概率论与数理统计Probability and Mathematical Statistics","必修Compulsory","3","null","第3学期Semester3","数学学院School of Mathematics","1，2","null"
"物理类Physics Courses","大学物理BICollege Physics  BI","必修Compulsory","3","null","第2学期Semester2","物理科学与技术学院School of Physical Science and Technology","1","null"
"物理类Physics Courses","大学物理实验IExperiments in College Physics I","必修Compulsory","1","1","第2学期Semester2","物理科学与技术学院School of Physical Science and Technology","4","null"
"物理类Physics Courses","大学物理BIICollege Physics  BII","必修Compulsory","3","null","第3学期Semester3","物理科学与技术学院School of Physical Science and Technology","1，2","null"
"物理类Physics Courses","大学物理实验IIExperiments in College Physics II","必修Compulsory","1","1","第3学期Semester3","物理科学与技术学院School of Physical Science and Technology","4","null"
